Threshold,Rank,Total Frames,Novel Frames,AI Calls,Efficiency (%),Avg Time (ms),Throughput (fps),Peak Memory (MB),Avg CPU (%),Peak CPU (%)
0.01,1,5,3,4,19.999999999999996,34.75,28.78,72.5,63.3,177.4
0.02,2,5,2,3,40.0,36.11,27.69,73.1,194.0,442.5
0.03,3,5,2,3,40.0,31.52,31.73,72.7,129.4,341.9
0.04,4,5,2,3,40.0,30.84,32.43,72.7,139.4,273.5
0.05,5,5,2,3,40.0,32.00,31.25,72.7,94.5,154.6
0.06,6,5,2,3,40.0,25.30,39.52,72.8,87.0,179.9
0.07,7,5,0,1,80.0,30.87,32.39,72.8,82.5,112.4
0.08,8,5,0,1,80.0,24.26,41.22,74.2,187.5,611.7
0.09,9,5,0,1,80.0,24.86,40.23,74.7,79.4,128.9
0.10,10,5,0,1,80.0,25.45,39.29,74.0,85.1,178.6
0.11,11,5,0,1,80.0,23.11,43.27,75.0,124.0,352.8
0.12,12,5,0,1,80.0,32.86,30.43,75.1,52.0,68.8
0.13,13,5,0,1,80.0,23.73,42.13,75.4,65.8,131.3
0.14,14,5,0,1,80.0,24.51,40.80,75.0,81.8,202.7
0.15,15,5,0,1,80.0,23.70,42.20,75.5,174.7,463.1
0.16,16,5,0,1,80.0,23.32,42.88,75.1,163.3,372.7
0.17,17,5,0,1,80.0,26.34,37.96,75.5,95.4,126.6
0.18,18,5,0,1,80.0,26.15,38.24,75.1,71.0,120.0
0.19,19,5,0,1,80.0,24.15,41.41,73.1,92.6,259.4
0.01,20,5,2,3,40.0,28.42,35.19,75.2,64.5,154.5
0.02,21,5,2,3,40.0,24.12,41.46,75.1,246.9,904.4
0.03,22,5,0,1,80.0,24.66,40.54,75.1,78.3,205.8
0.04,23,5,0,1,80.0,24.01,41.65,75.1,130.5,260.8
0.05,24,5,0,1,80.0,25.43,39.32,73.2,88.1,262.1
0.06,25,5,0,1,80.0,25.36,39.43,75.0,98.7,186.2
0.07,26,5,0,1,80.0,24.60,40.64,75.1,52.1,132.0
0.08,27,5,0,1,80.0,25.42,39.34,75.0,190.7,539.5
0.09,28,5,0,1,80.0,31.98,31.26,75.1,75.3,97.1
0.10,29,5,0,1,80.0,31.87,31.37,73.2,145.2,300.0
0.11,30,5,0,1,80.0,26.00,38.46,75.4,135.2,371.5
0.12,31,5,0,1,80.0,27.73,36.07,74.8,76.5,143.6
0.13,32,5,0,1,80.0,28.43,35.18,75.2,163.9,313.7
0.14,33,5,0,1,80.0,26.15,38.24,74.8,83.6,167.4
0.15,34,5,0,1,80.0,25.13,39.80,74.8,91.4,135.8
0.16,35,5,0,1,80.0,25.41,39.35,74.9,62.2,125.8
0.17,36,5,0,1,80.0,25.71,38.90,73.3,198.4,394.6
0.18,37,5,0,1,80.0,26.76,37.37,73.3,81.9,182.3
0.19,38,5,0,1,80.0,24.23,41.27,74.8,92.9,202.3
0.01,39,5,1,2,60.0,24.04,41.59,73.3,106.2,202.1
0.02,40,5,1,2,60.0,24.92,40.13,74.8,135.4,334.2
0.03,41,5,0,1,80.0,24.91,40.15,74.8,88.3,182.0
0.04,42,5,0,1,80.0,24.96,40.06,73.3,80.9,146.7
0.05,43,5,0,1,80.0,23.69,42.21,74.8,67.3,133.7
0.06,44,5,0,1,80.0,23.50,42.56,74.8,136.8,267.8
0.07,45,5,0,1,80.0,25.56,39.13,74.8,61.4,131.8
0.08,46,5,0,1,80.0,25.09,39.85,74.8,48.2,113.0
0.09,47,5,0,1,80.0,24.29,41.18,74.9,89.6,186.0
0.10,48,5,0,1,80.0,23.74,42.12,75.0,208.5,390.5
0.11,49,5,0,1,80.0,24.23,41.28,73.5,92.2,327.3
0.12,50,5,0,1,80.0,26.39,37.89,75.0,112.2,253.1
0.13,51,5,0,1,80.0,25.89,38.62,75.0,99.6,252.6
0.14,52,5,0,1,80.0,25.59,39.07,75.1,124.8,202.2
0.15,53,5,0,1,80.0,24.83,40.27,75.0,99.4,193.2
0.16,54,5,0,1,80.0,26.21,38.15,73.5,255.0,693.8
0.17,55,5,0,1,80.0,27.60,36.23,74.9,144.5,378.7
0.18,56,5,0,1,80.0,25.49,39.23,75.0,64.4,133.1
0.19,57,5,0,1,80.0,23.79,42.04,75.0,184.5,448.4
0.01,58,5,1,2,60.0,24.51,40.80,75.0,63.8,184.5
0.02,59,5,1,2,60.0,25.01,39.99,75.1,86.3,186.1
0.03,60,5,0,1,80.0,25.58,39.09,75.1,151.5,505.7
0.04,61,5,0,1,80.0,24.87,40.20,75.1,89.4,191.1
0.05,62,5,0,1,80.0,24.21,41.31,73.6,116.7,256.0
0.06,63,5,0,1,80.0,24.23,41.27,75.1,90.0,186.3
0.07,64,5,0,1,80.0,24.30,41.16,75.1,146.8,475.7
0.08,65,5,0,1,80.0,23.84,41.95,75.1,105.1,189.9
0.09,66,5,0,1,80.0,24.50,40.82,75.1,90.0,192.6
0.10,67,5,0,1,80.0,26.25,38.10,75.2,73.2,133.5
0.11,68,5,0,1,80.0,24.55,40.74,75.2,115.8,257.3
0.12,69,5,0,1,80.0,23.50,42.56,75.2,162.0,389.6
0.13,70,5,0,1,80.0,26.46,37.79,75.2,123.4,430.0
0.14,71,5,0,1,80.0,24.56,40.72,75.2,77.0,131.7
0.15,72,5,0,1,80.0,24.23,41.28,73.7,103.2,201.6
