compression_rank,threshold,metric,baseline_value,filter_value,improvement_percent
10,0.0100,time_saved,1.3092,146.0905,-11059.13
10,0.0100,ai_calls_reduction,5.0000,3.0000,40.00
10,0.0100,cpu_saved,0.0000,0.0000,0.00
10,0.0100,memory_saved,69.1063,73.4516,-6.29
10,0.0100,fps_improvement,3819.2533,34.2254,-99.10
10,0.0500,time_saved,1.3092,124.7489,-9428.96
10,0.0500,ai_calls_reduction,5.0000,3.0000,40.00
10,0.0500,cpu_saved,0.0000,0.0000,0.00
10,0.0500,memory_saved,69.1063,73.7398,-6.71
10,0.0500,fps_improvement,3819.2533,40.0805,-98.95
10,0.1000,time_saved,1.3092,99.9207,-7532.45
10,0.1000,ai_calls_reduction,5.0000,1.0000,80.00
10,0.1000,cpu_saved,0.0000,0.0000,0.00
10,0.1000,memory_saved,69.1063,73.8375,-6.85
10,0.1000,fps_improvement,3819.2533,50.0397,-98.69
10,0.1500,time_saved,1.3092,101.8374,-7678.86
10,0.1500,ai_calls_reduction,5.0000,1.0000,80.00
10,0.1500,cpu_saved,0.0000,0.0000,0.00
10,0.1500,memory_saved,69.1063,73.8781,-6.91
10,0.1500,fps_improvement,3819.2533,49.0979,-98.71
10,0.2000,time_saved,1.3092,119.1134,-8998.49
10,0.2000,ai_calls_reduction,5.0000,1.0000,80.00
10,0.2000,cpu_saved,0.0000,0.0000,0.00
10,0.2000,memory_saved,69.1063,73.8875,-6.92
10,0.2000,fps_improvement,3819.2533,41.9768,-98.90
20,0.0100,time_saved,1.3092,106.7603,-8054.89
20,0.0100,ai_calls_reduction,5.0000,3.0000,40.00
20,0.0100,cpu_saved,0.0000,0.0000,0.00
20,0.0100,memory_saved,69.1063,73.9437,-7.00
20,0.0100,fps_improvement,3819.2533,46.8339,-98.77
20,0.0500,time_saved,1.3092,120.6853,-9118.56
20,0.0500,ai_calls_reduction,5.0000,1.0000,80.00
20,0.0500,cpu_saved,0.0000,29.9400,0.00
20,0.0500,memory_saved,69.1063,73.9680,-7.04
20,0.0500,fps_improvement,3819.2533,41.4301,-98.92
20,0.1000,time_saved,1.3092,132.4191,-10014.84
20,0.1000,ai_calls_reduction,5.0000,1.0000,80.00
20,0.1000,cpu_saved,0.0000,0.0000,0.00
20,0.1000,memory_saved,69.1063,73.9719,-7.04
20,0.1000,fps_improvement,3819.2533,37.7589,-99.01
20,0.1500,time_saved,1.3092,125.5429,-9489.60
20,0.1500,ai_calls_reduction,5.0000,1.0000,80.00
20,0.1500,cpu_saved,0.0000,0.0000,0.00
20,0.1500,memory_saved,69.1063,73.9719,-7.04
20,0.1500,fps_improvement,3819.2533,39.8270,-98.96
20,0.2000,time_saved,1.3092,111.0933,-8385.87
20,0.2000,ai_calls_reduction,5.0000,1.0000,80.00
20,0.2000,cpu_saved,0.0000,0.0000,0.00
20,0.2000,memory_saved,69.1063,73.9758,-7.05
20,0.2000,fps_improvement,3819.2533,45.0072,-98.82
30,0.0100,time_saved,1.3092,105.7768,-7979.77
30,0.0100,ai_calls_reduction,5.0000,3.0000,40.00
30,0.0100,cpu_saved,0.0000,0.0000,0.00
30,0.0100,memory_saved,69.1063,74.0203,-7.11
30,0.0100,fps_improvement,3819.2533,47.2694,-98.76
30,0.0500,time_saved,1.3092,115.0315,-8686.69
30,0.0500,ai_calls_reduction,5.0000,1.0000,80.00
30,0.0500,cpu_saved,0.0000,0.0000,0.00
30,0.0500,memory_saved,69.1063,74.0281,-7.12
30,0.0500,fps_improvement,3819.2533,43.4664,-98.86
30,0.1000,time_saved,1.3092,121.4855,-9179.68
30,0.1000,ai_calls_reduction,5.0000,1.0000,80.00
30,0.1000,cpu_saved,0.0000,0.0000,0.00
30,0.1000,memory_saved,69.1063,74.0281,-7.12
30,0.1000,fps_improvement,3819.2533,41.1572,-98.92
30,0.1500,time_saved,1.3092,108.8285,-8212.88
30,0.1500,ai_calls_reduction,5.0000,1.0000,80.00
30,0.1500,cpu_saved,0.0000,0.0000,0.00
30,0.1500,memory_saved,69.1063,74.0305,-7.13
30,0.1500,fps_improvement,3819.2533,45.9438,-98.80
30,0.2000,time_saved,1.3092,102.9770,-7765.91
30,0.2000,ai_calls_reduction,5.0000,1.0000,80.00
30,0.2000,cpu_saved,0.0000,0.0000,0.00
30,0.2000,memory_saved,69.1063,74.0320,-7.13
30,0.2000,fps_improvement,3819.2533,48.5545,-98.73
40,0.0100,time_saved,1.3092,114.7559,-8665.63
40,0.0100,ai_calls_reduction,5.0000,2.0000,60.00
40,0.0100,cpu_saved,0.0000,0.0000,0.00
40,0.0100,memory_saved,69.1063,74.1305,-7.27
40,0.0100,fps_improvement,3819.2533,43.5708,-98.86
