compression_rank,threshold,metric,baseline_value,filter_value,improvement_percent
10,0.0100,time_saved,7122.7388,7926.5020,-11.28
10,0.0100,ai_calls_reduction,118.0000,67.0000,43.22
10,0.0100,cpu_saved,679.2754,638.6754,5.98
10,0.0100,memory_saved,346.0085,388.4983,-12.28
10,0.0100,fps_improvement,16.5667,14.8868,-10.14
10,0.0500,time_saved,7122.7388,5295.3832,25.66
10,0.0500,ai_calls_reduction,118.0000,12.0000,89.83
10,0.0500,cpu_saved,679.2754,309.6085,54.42
10,0.0500,memory_saved,346.0085,388.9376,-12.41
10,0.0500,fps_improvement,16.5667,22.2836,34.51
10,0.1000,time_saved,7122.7388,4873.5161,31.58
10,0.1000,ai_calls_reduction,118.0000,2.0000,98.31
10,0.1000,cpu_saved,679.2754,58.0508,91.45
10,0.1000,memory_saved,346.0085,389.1260,-12.46
10,0.1000,fps_improvement,16.5667,24.2125,46.15
10,0.1500,time_saved,7122.7388,4842.5982,32.01
10,0.1500,ai_calls_reduction,118.0000,1.0000,99.15
10,0.1500,cpu_saved,679.2754,27.9542,95.88
10,0.1500,memory_saved,346.0085,389.1549,-12.47
10,0.1500,fps_improvement,16.5667,24.3671,47.09
10,0.2000,time_saved,7122.7388,4775.5713,32.95
10,0.2000,ai_calls_reduction,118.0000,1.0000,99.15
10,0.2000,cpu_saved,679.2754,22.1127,96.74
10,0.2000,memory_saved,346.0085,389.1821,-12.48
10,0.2000,fps_improvement,16.5667,24.7091,49.15
20,0.0100,time_saved,7122.7388,7645.5777,-7.34
20,0.0100,ai_calls_reduction,118.0000,65.0000,44.92
20,0.0100,cpu_saved,679.2754,664.2754,2.21
20,0.0100,memory_saved,346.0085,390.0994,-12.74
20,0.0100,fps_improvement,16.5667,15.4338,-6.84
20,0.0500,time_saved,7122.7388,5279.7430,25.87
20,0.0500,ai_calls_reduction,118.0000,10.0000,91.53
20,0.0500,cpu_saved,679.2754,235.4483,65.34
20,0.0500,memory_saved,346.0085,390.1679,-12.76
20,0.0500,fps_improvement,16.5667,22.3496,34.91
20,0.1000,time_saved,7122.7388,5166.3921,27.47
20,0.1000,ai_calls_reduction,118.0000,1.0000,99.15
20,0.1000,cpu_saved,679.2754,25.6627,96.22
20,0.1000,memory_saved,346.0085,390.2184,-12.78
20,0.1000,fps_improvement,16.5667,22.8399,37.87
20,0.1500,time_saved,7122.7388,5291.6069,25.71
20,0.1500,ai_calls_reduction,118.0000,1.0000,99.15
20,0.1500,cpu_saved,679.2754,28.2907,95.84
20,0.1500,memory_saved,346.0085,390.2534,-12.79
20,0.1500,fps_improvement,16.5667,22.2995,34.60
20,0.2000,time_saved,7122.7388,5156.5807,27.60
20,0.2000,ai_calls_reduction,118.0000,1.0000,99.15
20,0.2000,cpu_saved,679.2754,26.8305,96.05
20,0.2000,memory_saved,346.0085,390.2855,-12.80
20,0.2000,fps_improvement,16.5667,22.8834,38.13
30,0.0100,time_saved,7122.7388,7592.6700,-6.60
30,0.0100,ai_calls_reduction,118.0000,58.0000,50.85
30,0.0100,cpu_saved,679.2754,532.0780,21.67
30,0.0100,memory_saved,346.0085,390.3770,-12.82
30,0.0100,fps_improvement,16.5667,15.5413,-6.19
30,0.0500,time_saved,7122.7388,5414.5539,23.98
30,0.0500,ai_calls_reduction,118.0000,8.0000,93.22
30,0.0500,cpu_saved,679.2754,179.5992,73.56
30,0.0500,memory_saved,346.0085,390.4360,-12.84
30,0.0500,fps_improvement,16.5667,21.7931,31.55
30,0.1000,time_saved,7122.7388,5325.0530,25.24
30,0.1000,ai_calls_reduction,118.0000,1.0000,99.15
30,0.1000,cpu_saved,679.2754,28.0220,95.87
30,0.1000,memory_saved,346.0085,390.4724,-12.85
30,0.1000,fps_improvement,16.5667,22.1594,33.76
30,0.1500,time_saved,7122.7388,5297.9319,25.62
30,0.1500,ai_calls_reduction,118.0000,1.0000,99.15
30,0.1500,cpu_saved,679.2754,19.1576,97.18
30,0.1500,memory_saved,346.0085,390.5126,-12.86
30,0.1500,fps_improvement,16.5667,22.2728,34.44
30,0.2000,time_saved,7122.7388,4744.2412,33.39
30,0.2000,ai_calls_reduction,118.0000,1.0000,99.15
30,0.2000,cpu_saved,679.2754,30.0297,95.58
30,0.2000,memory_saved,346.0085,390.5557,-12.87
30,0.2000,fps_improvement,16.5667,24.8723,50.13
40,0.0100,time_saved,7122.7388,7292.4240,-2.38
40,0.0100,ai_calls_reduction,118.0000,57.0000,51.69
40,0.0100,cpu_saved,679.2754,584.0483,14.02
40,0.0100,memory_saved,346.0085,390.6446,-12.90
40,0.0100,fps_improvement,16.5667,16.1812,-2.33
40,0.0500,time_saved,7122.7388,5015.7042,29.58
40,0.0500,ai_calls_reduction,118.0000,7.0000,94.07
40,0.0500,cpu_saved,679.2754,150.4373,77.85
40,0.0500,memory_saved,346.0085,390.6803,-12.91
40,0.0500,fps_improvement,16.5667,23.5261,42.01
40,0.1000,time_saved,7122.7388,4826.4647,32.24
40,0.1000,ai_calls_reduction,118.0000,1.0000,99.15
40,0.1000,cpu_saved,679.2754,37.0441,94.55
40,0.1000,memory_saved,346.0085,390.7617,-12.93
40,0.1000,fps_improvement,16.5667,24.4485,47.58
40,0.1500,time_saved,7122.7388,4772.4757,33.00
40,0.1500,ai_calls_reduction,118.0000,1.0000,99.15
40,0.1500,cpu_saved,679.2754,28.1797,95.85
40,0.1500,memory_saved,346.0085,390.7977,-12.94
40,0.1500,fps_improvement,16.5667,24.7251,49.25
40,0.2000,time_saved,7122.7388,4790.3066,32.75
40,0.2000,ai_calls_reduction,118.0000,1.0000,99.15
40,0.2000,cpu_saved,679.2754,14.1271,97.92
40,0.2000,memory_saved,346.0085,390.8332,-12.95
40,0.2000,fps_improvement,16.5667,24.6331,48.69
50,0.0100,time_saved,7122.7388,7079.4334,0.61
50,0.0100,ai_calls_reduction,118.0000,51.0000,56.78
50,0.0100,cpu_saved,679.2754,545.8958,19.64
50,0.0100,memory_saved,346.0085,391.0832,-13.03
50,0.0100,fps_improvement,16.5667,16.6680,0.61
50,0.0500,time_saved,7122.7388,5628.8548,20.97
50,0.0500,ai_calls_reduction,118.0000,7.0000,94.07
50,0.0500,cpu_saved,679.2754,144.6610,78.70
50,0.0500,memory_saved,346.0085,391.1101,-13.03
50,0.0500,fps_improvement,16.5667,20.9634,26.54
50,0.1000,time_saved,7122.7388,4846.0596,31.96
50,0.1000,ai_calls_reduction,118.0000,1.0000,99.15
50,0.1000,cpu_saved,679.2754,15.4102,97.73
50,0.1000,memory_saved,346.0085,391.1518,-13.05
50,0.1000,fps_improvement,16.5667,24.3497,46.98
50,0.1500,time_saved,7122.7388,4789.2289,32.76
50,0.1500,ai_calls_reduction,118.0000,1.0000,99.15
50,0.1500,cpu_saved,679.2754,19.4534,97.14
50,0.1500,memory_saved,346.0085,391.1951,-13.06
50,0.1500,fps_improvement,16.5667,24.6386,48.72
50,0.2000,time_saved,7122.7388,4823.7414,32.28
50,0.2000,ai_calls_reduction,118.0000,1.0000,99.15
50,0.2000,cpu_saved,679.2754,15.3297,97.74
50,0.2000,memory_saved,346.0085,391.2386,-13.07
50,0.2000,fps_improvement,16.5667,24.4623,47.66
