compression_rank,threshold,forwarding_ratio,reduction_percentage,avg_fps,avg_ms_per_frame,avg_ai_infer_ms,precision,recall,f1_score,time_saved_percent,ai_calls_reduction_percent,cpu_saved_percent,memory_saved_percent
10,0.0100,0.5678,43.22,14.89,67.1737,51.4818,0.0896,0.4000,0.1463,-11.28,43.22,5.98,-12.28
10,0.0500,0.1017,89.83,22.28,44.8761,48.6400,0.0000,0.0000,0.0000,25.66,89.83,54.42,-12.41
10,0.1000,0.0169,98.31,24.21,41.3010,48.4691,0.0000,0.0000,0.0000,31.58,98.31,91.45,-12.46
10,0.1500,0.0085,99.15,24.37,41.0390,48.2414,0.0000,0.0000,0.0000,32.01,99.15,95.88,-12.47
10,0.2000,0.0085,99.15,24.71,40.4709,48.8911,0.0000,0.0000,0.0000,32.95,99.15,96.74,-12.48
20,0.0100,0.5508,44.92,15.43,64.7930,49.7451,0.1385,0.6000,0.2250,-7.34,44.92,2.21,-12.74
20,0.0500,0.0847,91.53,22.35,44.7436,53.4699,0.1000,0.0667,0.0800,25.87,91.53,65.34,-12.76
20,0.1000,0.0085,99.15,22.84,43.7830,49.0804,0.0000,0.0000,0.0000,27.47,99.15,96.22,-12.78
20,0.1500,0.0085,99.15,22.30,44.8441,52.6812,0.0000,0.0000,0.0000,25.71,99.15,95.84,-12.79
20,0.2000,0.0085,99.15,22.88,43.6998,50.6687,0.0000,0.0000,0.0000,27.60,99.15,96.05,-12.80
30,0.0100,0.4915,50.85,15.54,64.3447,50.2721,0.1552,0.6000,0.2466,-6.60,50.85,21.67,-12.82
30,0.0500,0.0678,93.22,21.79,45.8860,50.2439,0.0000,0.0000,0.0000,23.98,93.22,73.56,-12.84
30,0.1000,0.0085,99.15,22.16,45.1276,49.3650,0.0000,0.0000,0.0000,25.24,99.15,95.87,-12.85
30,0.1500,0.0085,99.15,22.27,44.8977,49.3870,0.0000,0.0000,0.0000,25.62,99.15,97.18,-12.86
30,0.2000,0.0085,99.15,24.87,40.2054,46.9313,0.0000,0.0000,0.0000,33.39,99.15,95.58,-12.87
40,0.0100,0.4831,51.69,16.18,61.8002,50.2396,0.1579,0.6000,0.2500,-2.38,51.69,14.02,-12.90
40,0.0500,0.0593,94.07,23.53,42.5060,47.8818,0.0000,0.0000,0.0000,29.58,94.07,77.85,-12.91
40,0.1000,0.0085,99.15,24.45,40.9022,46.8309,0.0000,0.0000,0.0000,32.24,99.15,94.55,-12.93
40,0.1500,0.0085,99.15,24.73,40.4447,49.3288,0.0000,0.0000,0.0000,33.00,99.15,95.85,-12.94
40,0.2000,0.0085,99.15,24.63,40.5958,48.6372,0.0000,0.0000,0.0000,32.75,99.15,97.92,-12.95
50,0.0100,0.4322,56.78,16.67,59.9952,49.3115,0.1765,0.6000,0.2727,0.61,56.78,19.64,-13.03
50,0.0500,0.0593,94.07,20.96,47.7022,49.0070,0.0000,0.0000,0.0000,20.97,94.07,78.70,-13.03
50,0.1000,0.0085,99.15,24.35,41.0683,53.2458,0.0000,0.0000,0.0000,31.96,99.15,97.73,-13.05
50,0.1500,0.0085,99.15,24.64,40.5867,46.9577,0.0000,0.0000,0.0000,32.76,99.15,97.14,-13.06
50,0.2000,0.0085,99.15,24.46,40.8792,51.6632,0.0000,0.0000,0.0000,32.28,99.15,97.74,-13.07
