frame_index,compression_rank,threshold,reconstruction_error,is_novel_predicted,is_novel_truth,gate_ms,ai_called,ai_infer_ms,ai_e2e_ms,cpu_percent,memory_mb,timestamp
0,10,0.0100,0.139776,1,0,50.0617,1,77.0841,127.1489,1037.30,386.48,1764816452.787812
1,10,0.0100,0.123607,1,0,41.0395,1,50.7717,91.8224,1044.50,387.20,1764816452.925754
2,10,0.0100,0.135453,1,0,39.1948,1,49.9396,89.1399,1063.20,387.27,1764816453.028152
3,10,0.0100,0.136920,0,0,37.9167,0,0.0000,37.9198,1041.20,387.39,1764816453.127662
4,10,0.0100,0.111058,1,0,37.9303,1,49.5069,87.4412,0.00,387.52,1764816453.176170
5,10,0.0100,0.077864,1,0,38.3840,1,51.3570,89.7458,1086.60,387.54,1764816453.274185
6,10,0.0100,0.070615,0,0,38.4898,0,0.0000,38.4929,1049.80,387.57,1764816453.374096
7,10,0.0100,0.077573,0,0,37.6999,0,0.0000,37.7030,1067.50,387.58,1764816453.423081
8,10,0.0100,0.160259,1,0,37.9555,1,49.4900,87.4484,0.00,388.19,1764816453.471107
9,10,0.0100,0.161678,0,0,39.7146,0,0.0000,39.7182,915.70,388.34,1764816453.569123
10,10,0.0100,0.165443,0,0,38.3670,0,0.0000,38.3711,932.10,388.46,1764816453.619180
11,10,0.0100,0.166489,0,0,39.0091,0,0.0000,39.0129,1053.90,388.46,1764816453.667902
12,10,0.0100,0.159017,0,1,38.1672,0,0.0000,38.1706,0.00,388.46,1764816453.717379
13,10,0.0100,0.153990,0,1,35.8801,0,0.0000,35.8825,0.00,388.46,1764816453.765931
14,10,0.0100,0.178501,1,1,41.8074,1,53.9048,95.7148,1077.10,388.46,1764816453.812084
15,10,0.0100,0.168873,0,0,39.6137,0,0.0000,39.6163,1069.20,388.46,1764816453.918051
16,10,0.0100,0.058978,1,0,38.5971,1,50.9944,89.5948,0.00,388.46,1764816453.967991
17,10,0.0100,0.111261,1,0,39.5913,1,52.1009,91.6963,1066.80,388.48,1764816454.067988
18,10,0.0100,0.124624,1,0,40.0639,1,55.7444,95.8128,619.60,388.53,1764816454.170005
19,10,0.0100,0.106114,1,0,38.7690,1,53.6463,92.4196,1036.10,388.54,1764816454.276006
20,10,0.0100,0.171362,1,0,39.2752,1,51.8889,91.1682,1066.30,388.54,1764816454.379084
21,10,0.0100,0.187924,1,0,39.4013,1,51.9812,91.3861,1084.70,388.54,1764816454.480725
22,10,0.0100,0.165069,1,0,39.3910,1,61.7843,101.1796,0.00,388.56,1764816454.582294
23,10,0.0100,0.171648,0,0,37.4629,0,0.0000,37.4668,0.00,388.56,1764816454.693808
24,10,0.0100,0.145362,1,0,38.5063,1,50.9179,89.4282,1041.30,388.56,1764816454.741451
25,10,0.0100,0.104806,1,0,40.3910,1,52.1195,92.5136,0.00,388.57,1764816454.841460
26,10,0.0100,0.117379,1,0,39.9802,1,52.3407,92.3262,1068.10,388.57,1764816454.944099
27,10,0.0100,0.096884,1,0,38.9616,1,54.9669,93.9331,1036.90,388.57,1764816455.046747
28,10,0.0100,0.084129,1,0,41.9321,1,53.1039,95.0391,0.00,388.57,1764816455.151325
29,10,0.0100,0.089127,0,0,37.4916,0,0.0000,37.4949,0.00,388.57,1764816455.256812
30,10,0.0100,0.103399,1,0,38.2690,1,54.2524,92.5245,1048.10,388.59,1764816455.304478
31,10,0.0100,0.111584,0,0,40.0908,0,0.0000,40.0941,464.50,388.59,1764816455.407742
32,10,0.0100,0.133703,1,0,40.2811,1,52.8300,93.1151,1060.10,388.60,1764816455.458060
33,10,0.0100,0.145927,1,0,37.3297,1,54.9262,92.2604,0.00,388.60,1764816455.561610
34,10,0.0100,0.141405,0,1,38.7180,0,0.0000,38.7206,152.70,388.60,1764816455.664025
35,10,0.0100,0.130656,1,1,39.6850,1,52.0775,91.7668,1086.40,388.60,1764816455.713076
36,10,0.0100,0.120753,0,0,39.5381,0,0.0000,39.5417,451.80,388.60,1764816455.815007
37,10,0.0100,0.119346,1,0,39.4244,1,52.0434,91.4717,1087.80,388.61,1764816455.865023
38,10,0.0100,0.083951,1,0,40.3433,1,53.8745,94.2221,0.00,388.61,1764816455.966620
39,10,0.0100,0.091912,0,0,41.3806,0,0.0000,41.3847,1039.90,388.61,1764816456.071194
40,10,0.0100,0.081434,0,0,39.9473,0,0.0000,39.9511,1044.20,388.61,1764816456.123178
41,10,0.0100,0.048099,1,0,36.5934,1,58.2812,94.8784,1068.50,388.61,1764816456.173897
