frame_index,compression_rank,threshold,reconstruction_error,is_novel_predicted,is_novel_truth,gate_ms,ai_called,ai_infer_ms,ai_e2e_ms,cpu_percent,memory_mb,timestamp
0,10,0.0100,0.143419,1,,39.6585,1,0.1881,39.8498,0.00,73.61,1766597080.751445
1,10,0.0100,0.143419,0,,26.3293,0,0.0000,26.3433,0.00,73.21,1766597080.802018
2,10,0.0100,0.194286,1,,22.4490,1,0.1886,22.6452,0.00,73.36,1766597080.838934
3,10,0.0100,0.130580,1,,31.5907,1,0.2174,31.8117,0.00,73.49,1766597080.872274
4,10,0.0100,0.133586,0,,25.4369,0,0.0000,25.4405,0.00,73.58,1766597080.914294
0,10,0.0500,0.143419,1,,24.6453,1,0.1795,24.8282,0.00,74.10,1766597080.951547
1,10,0.0500,0.143419,0,,31.5802,0,0.0000,31.5835,0.00,73.62,1766597080.987172
2,10,0.0500,0.194286,1,,22.9630,1,0.2847,23.2508,0.00,73.64,1766597081.029026
3,10,0.0500,0.130580,1,,21.2610,1,0.1695,21.4353,0.00,73.66,1766597081.062886
4,10,0.0500,0.133586,0,,23.6478,0,0.0000,23.6511,0.00,73.68,1766597081.095291
0,10,0.1000,0.143419,1,,19.6717,1,0.1755,19.8486,0.00,74.22,1766597081.130081
1,10,0.1000,0.143419,0,,19.7771,0,0.0000,19.7802,0.00,73.72,1766597081.160748
2,10,0.1000,0.194286,0,,18.7335,0,0.0000,18.7368,0.00,73.75,1766597081.191195
3,10,0.1000,0.130580,0,,20.3078,0,0.0000,20.3104,0.00,73.75,1766597081.220228
4,10,0.1000,0.133586,0,,21.2419,0,0.0000,21.2448,0.00,73.75,1766597081.251017
0,10,0.1500,0.143419,1,,18.9621,1,0.2012,19.1662,0.00,74.27,1766597081.283565
1,10,0.1500,0.143419,0,,20.4425,0,0.0000,20.4451,0.00,73.78,1766597081.313369
2,10,0.1500,0.194286,0,,18.0075,0,0.0000,18.0099,0.00,73.79,1766597081.344351
3,10,0.1500,0.130580,0,,18.6152,0,0.0000,18.6183,0.00,73.78,1766597081.372917
4,10,0.1500,0.133586,0,,25.5942,0,0.0000,25.5978,0.00,73.78,1766597081.401841
0,10,0.2000,0.143419,1,,27.2028,1,0.1588,27.3640,0.00,74.30,1766597081.439061
1,10,0.2000,0.143419,0,,22.5079,0,0.0000,22.5108,0.00,73.79,1766597081.477074
2,10,0.2000,0.194286,0,,21.6761,0,0.0000,21.6789,0.00,73.79,1766597081.509937
3,10,0.2000,0.130580,0,,22.8548,0,0.0000,22.8570,0.00,73.79,1766597081.541914
4,10,0.2000,0.133586,0,,24.6999,0,0.0000,24.7028,0.00,73.78,1766597081.575303
0,20,0.0100,0.114315,1,,27.0517,1,0.1500,27.2040,0.00,74.34,1766597081.612485
1,20,0.0100,0.114315,0,,20.4043,0,0.0000,20.4077,0.00,73.84,1766597081.650431
2,20,0.0100,0.140382,1,,18.9495,1,0.1507,19.1031,0.00,73.85,1766597081.681444
3,20,0.0100,0.098752,1,,20.3876,1,0.1800,20.5715,0.00,73.85,1766597081.711010
4,20,0.0100,0.095094,0,,19.4693,0,0.0000,19.4740,0.00,73.85,1766597081.742123
0,20,0.0500,0.114315,1,,21.2474,1,0.1488,21.3981,0.00,74.39,1766597081.772983
1,20,0.0500,0.114315,0,,22.0256,0,0.0000,22.0282,149.70,73.86,1766597081.805337
2,20,0.0500,0.140382,0,,24.8139,0,0.0000,24.8168,0.00,73.87,1766597081.837895
3,20,0.0500,0.098752,0,,29.5136,0,0.0000,29.5169,0.00,73.86,1766597081.873309
