compression_rank,threshold,total_frames,novel_frames,ignored_frames,forwarding_ratio,reduction_percentage,avg_gate_ms,avg_ai_infer_ms,avg_ai_e2e_ms,avg_fps,avg_ms_per_frame,avg_cpu_percent,avg_memory_mb,precision,recall,f1_score,filter_accuracy
10,0.0100,5,3,2,0.6000,40.00,29.0929,0.1980,29.2181,34.23,29.2181,0.00,73.45,,,,
10,0.0500,5,3,2,0.6000,40.00,24.8195,0.2112,24.9498,40.08,24.9498,0.00,73.74,,,,
10,0.1000,5,1,4,0.2000,80.00,19.9464,0.1755,19.9841,50.04,19.9841,0.00,73.84,,,,
10,0.1500,5,1,4,0.2000,80.00,20.3243,0.2012,20.3675,49.10,20.3675,0.00,73.88,,,,
10,0.2000,5,1,4,0.2000,80.00,23.7883,0.1588,23.8227,41.98,23.8227,0.00,73.89,,,,
20,0.0100,5,3,2,0.6000,40.00,21.2525,0.1602,21.3521,46.83,21.3521,0.00,73.94,,,,
20,0.0500,5,1,4,0.2000,80.00,24.1045,0.1488,24.1371,41.43,24.1371,29.94,73.97,,,,
20,0.1000,5,1,4,0.2000,80.00,26.4493,0.1576,26.4838,37.76,26.4838,0.00,73.97,,,,
20,0.1500,5,1,4,0.2000,80.00,25.0655,0.1891,25.1086,39.83,25.1086,0.00,73.97,,,,
20,0.2000,5,1,4,0.2000,80.00,22.1871,0.1431,22.2187,45.01,22.2187,0.00,73.98,,,,
30,0.0100,5,3,2,0.6000,40.00,21.0449,0.1785,21.1554,47.27,21.1554,0.00,74.02,,,,
30,0.0500,5,1,4,0.2000,80.00,22.9713,0.1602,23.0063,43.47,23.0063,0.00,74.03,,,,
30,0.1000,5,1,4,0.2000,80.00,24.2596,0.1740,24.2971,41.16,24.2971,0.00,74.03,,,,
30,0.1500,5,1,4,0.2000,80.00,21.7318,0.1564,21.7657,45.94,21.7657,0.00,74.03,,,,
30,0.2000,5,1,4,0.2000,80.00,20.5623,0.1497,20.5954,48.55,20.5954,0.00,74.03,,,,
40,0.0100,5,2,3,0.4000,60.00,22.8461,0.2546,22.9512,43.57,22.9512,0.00,74.13,,,,
40,0.0500,5,1,4,0.2000,80.00,24.0003,0.1490,24.0339,41.61,24.0339,0.00,74.13,,,,
40,0.1000,5,1,4,0.2000,80.00,23.4496,0.1812,23.4891,42.57,23.4891,0.00,74.13,,,,
40,0.1500,5,1,4,0.2000,80.00,23.7960,0.1538,23.8299,41.96,23.8299,0.00,74.13,,,,
40,0.2000,5,1,4,0.2000,80.00,22.7398,0.1454,22.7716,43.91,22.7716,0.00,74.13,,,,
50,0.0100,5,2,3,0.4000,60.00,24.2715,0.1614,24.3389,41.09,24.3389,0.00,74.19,,,,
50,0.0500,5,1,4,0.2000,80.00,26.8938,0.2325,26.9432,37.12,26.9432,0.00,74.22,,,,
50,0.1000,5,1,4,0.2000,80.00,28.1764,0.1900,28.2173,35.44,28.2173,0.00,74.27,,,,
50,0.1500,5,1,4,0.2000,80.00,25.3829,0.1528,25.4160,39.35,25.4160,0.00,74.28,,,,
50,0.2000,5,1,4,0.2000,80.00,24.8346,0.1476,24.8671,40.21,24.8671,0.00,74.31,,,,
